"Tail_Number","YEAR","YEAR_MFR","AGE","AIR_TIME","FLIGHTS_ANNUAL","FLIGHTS","DISTANCE","TOT_CARRIER_DELAY","TOT_LATE_AIRCRAFT_DELAY","COUNT_CARRIER_DELAY","COUNT_LATE_AIRCRAFT_DELAY","CARRIER_DELAY_30","LATE_AIRCRAFT_DELAY_30","COUNT_CARRIER_DELAY_30","COUNT_LATE_AIRCRAFT_DELAY_30","COUNT_CARRIER_CANCELLATION","STATE","REGION","TYPE_AIRCRAFT","TYPE_ENGINE","TYPE_REGISTRANT","CARRIER_DELAY_30_RATIO","COUNT_CARRIER_DELAY_30_RATIO","LATE_AIRCRAFT_DELAY_30_RATIO","COUNT_LATE_AIRCRAFT_DELAY_30_RATIO","TOTAL_DELAY_RATE","Proportion_Cancelled"
"75858",2013,2004,9,1691227,643,9512,13285736,2477,2790,95,63,1298,2243,36,31,0,"IL","C",5,5,3,2.01866251944012,0.0559875583203732,3.48833592534992,0.0482115085536547,0.104199066874028,0
"75858",2014,2004,10,1860023,705,10217,14661596,5132,4211,148,67,3710,3671,63,22,1,"IL","C",5,5,3,5.26241134751773,0.0893617021276596,5.20709219858156,0.0312056737588653,0.120567375886525,9.78760888714887e-05
"75858",2015,2004,11,2043964,760,10977,16169022,5891,5418,152,84,4531,4811,64,34,2,"IL","C",5,5,3,5.96184210526316,0.0842105263157895,6.33026315789474,0.0447368421052632,0.128947368421053,0.000182199143664025
"75858",2016,2004,12,2175422,666,11643,17234050,6447,6055,158,106,4936,5248,67,51,0,"IL","C",5,5,3,7.41141141141141,0.100600600600601,7.87987987987988,0.0765765765765766,0.177177177177177,0
"75858",2017,2004,13,2361888,941,12584,18730041,3465,6157,87,91,2755,5611,36,40,0,"IL","C",5,5,3,2.92773645058449,0.0382571732199787,5.96280552603613,0.0425079702444208,0.0807651434643996,0
"75858",2018,2004,14,2518575,789,13373,20010301,4149,5840,87,85,3524,5389,44,37,0,"IL","C",5,5,3,4.46641318124208,0.055766793409379,6.83016476552598,0.0468948035487959,0.102661596958175,0
"75858",2019,2004,15,2680505,839,14212,21314863,5532,9019,110,104,4761,8496,55,48,0,"IL","C",5,5,3,5.6746126340882,0.065554231227652,10.1263408820024,0.0572109654350417,0.122765196662694,0
"75858",2020,2004,16,2787358,605,14817,22155559,1535,1137,35,21,1195,951,13,10,0,"IL","C",5,5,3,1.97520661157025,0.0214876033057851,1.57190082644628,0.0165289256198347,0.0380165289256198,0
"75858",2021,2004,17,2925317,790,15607,23236246,3850,5910,93,71,2956,5489,36,32,0,"IL","C",5,5,3,3.74177215189873,0.0455696202531646,6.94810126582279,0.0405063291139241,0.0860759493670886,0
"75858",2022,2004,18,2967784,200,15807,23575645,904,1298,17,12,819,1221,9,6,0,"IL","C",5,5,3,4.095,0.045,6.105,0.03,0.075,0
